,player_name,player_extended_name,nationality,position,overall
17654,Rits,Mats Rits,Belgium,CM,75
17655,Nagatomo,Yuto Nagatomo,Japan,LB,75
17656,Labyad,Zakaria Labyad,Morocco,CAM,75
17657,D'Ambrosio,Danilo D'Ambrosio,Italy,RB,75
17658,Biraghi,Cristiano Biraghi,Italy,LB,75
17659,Gazzaniga,Paulo Gazzaniga,Argentina,GK,75
17660,Soudani,Hillal Soudani,Algeria,ST,75
17661,Kryvtsov,Sergiy Kryvtsov,Ukraine,CB,75
17662,Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,Angola,RB,75
17663,Schrijvers,Siebe Schrijvers,Belgium,CF,75
17664,André Ramalho,André Ramalho Silva,Brazil,CB,75
17665,Lazaro,Valentino Lazaro,Austria,RB,75
17666,Stanciu,Nicolae Stanciu,Romania,CAM,75
17667,Ademi,Arijan Ademi,Macedonia (the former Yugoslav Republic of),CDM,75
17668,Conti,Germán Conti,Argentina,CB,75
17669,Koné,Youssouf Koné,Mali,LB,75
17670,Tau,Percy Tau,South Africa,RW,75
17671,Thiago Maia,Thiago Maia Alencar,Brazil,CDM,75
17672,Minamino,Takumi Minamino,Japan,CAM,75
17673,Larsen,Jacob Bruun Larsen,Denmark,LM,75
17674,Pjaca,Marko Pjaca,Croatia,LW,75
17675,Sanches,Renato Júnior Luz Sanches,Portugal,CM,75
17676,Lucumi,Jhon Lucumi,Colombia,CB,75
17677,Ricca,Federico Ricca,Uruguay,LB,75
17678,Ito,Junya Ito,Japan,RW,75
17679,Mount,Mason Mount,United Kingdom of Great Britain and Northern Ireland,CAM,75
17680,Luiz Araújo,Luiz Araújo,Brazil,LM,75
17681,Marcão,Marcos Nascimento Teixeira,Brazil,CB,75
17682,Retsos,Panagiotis Retsos,Greece,CB,75
17683,Sessegnon,Ryan Sessegnon,United Kingdom of Great Britain and Northern Ireland,LM,75
17684,Diatta,Krépin Diatta,Senegal,LW,75
17685,Dennis,Emmanuel Dennis,Nigeria,RW,75
17686,Saracchi,Marcelo Saracchi,Uruguay,LB,75
17687,Ferrán Torres,Ferrán Torres García,Spain,RM,75
17688,Manu Vallejo,Manuel Vallejo Galván,Spain,ST,75
17689,Masopust,Lukáš Masopust,Czech Republic,RM,75
17690,Ruffier,Stéphane Ruffier,France,GK,86
17691,Hummels,Mats Hummels,Germany,CB,88
17692,Alonso,Marcos Alonso Mendoza,Spain,LB,84
17693,Mina,Yerry Mina,Colombia,CB,82
17694,Gomis,Alfred Gomis,Senegal,GK,81
17695,Parejo,Daniel Parejo Muñoz,Spain,CM,87
17696,Troost-Ekong,William Troost-Ekong,Nigeria,CB,81
17697,Taison,Taison Barcellos Freda,Brazil,CAM,84
17698,Doucouré,Abdoulaye Doucouré,France,CM,84
17699,Soucek,Tomáš Soucek,Czech Republic,CDM,82
17700,Griezmann,Antoine Griezmann,France,LW,90
17701,Mantalos,Petros Mantalos,Greece,LM,81
17702,Nainggolan,Radja Nainggolan,Belgium,RW,85
17703,Martínez,Lautaro Martínez,Argentina,ST,84
17704,Di María,Ángel Di María,Argentina,RW,87
17705,Yedder,Wissam Ben Yedder,France,ST,85
17706,Grealish,Jack Grealish,United Kingdom of Great Britain and Northern Ireland,LW,81
17707,Oršic,Mislav Oršic,Croatia,LM,79
17708,Morris,Jordan Morris,United States of America,LM,78
17709,Cornelius,Andreas Cornelius,Denmark,ST,80
17710,Candeias,Daniel João Santos Candeias,Portugal,ST,79
17711,Goitom,Henok Goitom,Eritrea,ST,78
17712,Ángel,Ángel Luís Rodríguez Díaz,Spain,ST,82
17713,Onana,André Onana,Cameroon,GK,82
17714,Huntelaar,Klaas-Jan Huntelaar,Netherlands,ST,77
17715,Cunha,Matheus Santos Carneiro Da Cunha,Brazil,ST,83
17716,Boëtius,Jean-Paul Boëtius,Netherlands,CAM,84
17717,Draxler,Julian Draxler,Germany,CAM,86
17718,Kroos,Toni Kroos,Germany,CM,90
17719,Gameiro,Kévin Gameiro,France,ST,86
17720,Insigne,Lorenzo Insigne,Italy,CF,89
17721,Firmino,Roberto Firmino Barbosa de Oliveira,Brazil,CF,88
17722,Özil,Mesut Özil,Germany,CAM,87
17723,Trippier,Kieran Trippier,United Kingdom of Great Britain and Northern Ireland,RB,85
17724,Laxalt,Diego Laxalt,Uruguay,LM,84
17725,Payet,Dimitri Payet,France,CAM,86
17726,Aspas,Iago Aspas Juncal,Spain,ST,87
17727,Medel,Gary Medel,Chile,CDM,84
17728,Adama,Adama Traoré Diarra,Spain,RW,85
17729,St. Juste,Jeremiah St. Juste,Netherlands,CB,84
17730,Giovinco,Sebastian Giovinco,Italy,CF,86
17731,Pulisic,Christian Pulisic,United States of America,LM,82
17732,Sels,Matz Sels,Belgium,GK,82
17733,Gabriel,Gabriel Vasconcelos F.,Brazil,GK,81
17734,Nkoulou,Nicolas Nkoulou,Cameroon,CB,84
17735,Espinosa,Bernardo Espinosa,Colombia,CB,81
17736,Vida,Domagoj Vida,Croatia,CB,83
17737,Stengs,Calvin Stengs,Netherlands,CAM,81
17738,Chilwell,Ben Chilwell,United Kingdom of Great Britain and Northern Ireland,LB,82
17739,Fabinho,Fábio Henrique Tavares,Brazil,CDM,86
17740,Bellarabi,Karim Bellarabi,Germany,RM,84
17741,Toko-Ekambi,Karl Toko-Ekambi,Cameroon,ST,82
17742,Yazici,Yusuf Yazici,Turkey,CAM,82
17743,Saúl,Saúl Ñíguez Esclápez,Spain,CM,86
17744,Ayoze Pérez,Ayoze Pérez Gutiérrez,Spain,RW,82
17745,Mbappé,Kylian Mbappé,France,LW,90
17746,Mitrovic,Aleksandar Mitrovic,Serbia,ST,82
17747,Ilicic,Josip Ilicic,Slovenia,ST,86
17748,Vela,Carlos Vela,Mexico,ST,85
17749,Bakaev,Zelimkhan Bakaev,Russian Federation,CAM,78
17750,Balanta,Maicol Balanta,Colombia,RM,75
17751,Pellegrino,Amahl Pellegrino,Norway,LM,72
17752,Laba,Kodjo Fo-Doh Laba,Togo,ST,79
17753,Doyle,Eoin Doyle,Ireland,ST,73
17754,Eder,Eder Citadin Martins,Italy,ST,84
17755,Johnathan,Johnathan Aparecido Silva,Brazil,ST,84
17756,Piqué,Gerard Piqué Bernabeu,Spain,CB,90
17757,Chong,Tahith Chong,Netherlands,RM,83
17758,Mascherano,Javier Mascherano,Argentina,CDM,87
17759,Politano,Matteo Politano,Italy,RM,87
17760,Maolida,Myziane Maolida,France,LW,84
17761,Delaine,Thomas Delaine,France,LB,83
17762,Benítez,Walter Benítez,Argentina,GK,83
17763,Sommer,Yann Sommer,Switzerland,GK,86
17764,Smalling,Chris Smalling,United Kingdom of Great Britain and Northern Ireland,CB,83
17765,Walker,Kyle Walker,United Kingdom of Great Britain and Northern Ireland,RB,86
17766,Grimaldo,Alejandro Grimaldo García,Spain,LB,85
17767,Fabra,Frank Fabra,Colombia,LB,82
17768,De Ligt,Matthijs de Ligt,Netherlands,CB,86
17769,Orellana,Fabián Orellana,Chile,RM,82
17770,Ziyech,Hakim Ziyech,Morocco,CAM,86
17771,Lodeiro,Nicolás Lodeiro,Uruguay,CAM,82
17772,Alberto,Luis Alberto Romero Alconchel,Spain,CM,86
17773,Abraham,Tammy Abraham,United Kingdom of Great Britain and Northern Ireland,ST,84
17774,Muniain,Iker Muniain Goñi,Spain,CAM,84
17775,Kostic,Filip Kostic,Serbia,LM,84
17776,Hazard,Thorgan Hazard,Belgium,LM,84
17777,João Pedro,João Pedro G. Santos Galvão,Brazil,ST,81
17778,Lukaku,Romelu Lukaku,Belgium,ST,86
17779,Werner,Timo Werner,Germany,ST,85
17780,Ciano,Camillo Ciano,Italy,ST,80
17781,Lundstram,John Lundstram,United Kingdom of Great Britain and Northern Ireland,CM,76
17782,Hepburn-Murphy,Rushian Hepburn-Murphy,United Kingdom of Great Britain and Northern Ireland,ST,71
17783,Ascroft,Harry Ascroft,Australia,CB,69
17784,Turay,Mohamed Buya Turay,Sierra Leone,ST,77
17785,Vardy,Jamie Vardy,United Kingdom of Great Britain and Northern Ireland,ST,86
17786,Kanté,N'Golo Kanté,France,CDM,91
17787,Sancho,Jadon Sancho,United Kingdom of Great Britain and Northern Ireland,RM,87
17788,Militão,Éder Gabriel Militão,Brazil,CB,86
17789,Wendell,Wendell Nascimento Borges,Brazil,LB,81
17790,Wass,Daniel Wass,Denmark,CM,85
17791,Neres,David Neres Campos,Brazil,LW,84
17792,Son,Heung Min Son,Korea (Republic of),CF,89
17793,Mahrez,Riyad Mahrez,Algeria,RW,87
17794,Coman,Kingsley Coman,France,LM,87
17795,Dybala,Paulo Dybala,Argentina,CAM,90
17796,Dembélé,Ousmane Dembélé,France,RW,87
17797,Allan,Allan Marques Loureiro,Brazil,CM,87
17798,Handanovic,Samir Handanovic,Slovenia,GK,89
17799,Jiménez,Raúl Jiménez,Mexico,ST,85
17800,Juan Jesus,Juan Guilherme Nunes Jesus,Brazil,CB,84
17801,Dumfries,Denzel Dumfries,Netherlands,RB,82
17802,Mané,Sadio Mané,Senegal,LW,90
17803,Gomez,Joe Gomez,United Kingdom of Great Britain and Northern Ireland,CB,85
17804,Danilo,Danilo Luiz da Silva,Brazil,RB,86
17805,Oxlade-Chamberlain,Alex Oxlade-Chamberlain,United Kingdom of Great Britain and Northern Ireland,CM,85
17806,Martins,Gelson Dany Batalha Martins,Portugal,RM,86
17807,Mbabu,Kevin Mbabu,Switzerland,RB,84
17808,Corona,Jesús Corona,Mexico,RM,86
17809,Willian,Willian Borges da Silva,Brazil,RW,86
17810,Håland,Erling Braut Håland,Norway,ST,82
17811,Szczesny,Wojciech Szczesny,Poland,GK,87
17812,Messi,Lionel Messi,Argentina,RW,95
17813,Lewandowski,Robert Lewandowski,Poland,ST,91
17814,Foster,Ben Foster,United Kingdom of Great Britain and Northern Ireland,GK,83
17815,Robertson,Andrew Robertson,United Kingdom of Great Britain and Northern Ireland,LB,86
17816,Oršic,Mislav Oršic,Croatia,LM,82
17817,Herrmann,Patrick Herrmann,Germany,RW,81
17818,Nainggolan,Radja Nainggolan,Belgium,CAM,86
17819,Bouanga,Denis Bouanga,Gabon,LM,81
17820,Telles,Alex Nicolao Telles,Brazil,LB,86
17821,Kryvtsov,Sergiy Kryvtsov,Ukraine,CB,81
17822,Pereira,Ricardo Barbosa Pereira,Portugal,RB,84
17823,Hennings,Rouwen Hennings,Germany,ST,80
17824,Capa,Ander Capa Rodríguez,Spain,RB,82
17825,Payet,Dimitri Payet,France,LW,84
17826,Trimmel,Christopher Trimmel,Austria,RWB,79
17827,De Beek,Donny van de Beek,Netherlands,CDM,84
17828,Barella,Nicolò Barella,Italy,CM,83
17829,Dessers,Cyriel Dessers,Belgium,ST,76
17830,Doidge,Christian Doidge,United Kingdom of Great Britain and Northern Ireland,ST,75
17831,Víctor Rodríguez,Víctor Rodríguez Romero,Spain,LM,79
17832,Martín,Henry Martín,Mexico,CF,80
17833,Silva,Thiago Emiliano da Silva,Brazil,CB,90
17834,Toko-Ekambi,Karl Toko-Ekambi,Cameroon,ST,86
17835,Müller,Nicolai Müller,Germany,RM,74
17836,Mccann,Chris McCann,Ireland,LB,64
17837,Fabri,Julien Fabri,France,GK,62
17838,Gómez,Alejandro Gómez,Argentina,CAM,87
17839,Bale,Gareth Bale,United Kingdom of Great Britain and Northern Ireland,RW,87
17840,Marquinhos,Marcos Aoas Corrêa,Brazil,CB,88
17841,Gueye,Idrissa Gueye,Senegal,CDM,86
17842,Immobile,Ciro Immobile,Italy,ST,87
17843,Torreira,Lucas Torreira,Uruguay,CDM,86
17844,Lloris,Hugo Lloris,France,GK,90
17845,Partey,Thomas Partey,Ghana,CM,86
17846,Angeliño,José Ángel Esmoris Tasende,Spain,LB,84
17847,Alba,Jordi Alba Ramos,Spain,LB,89
17848,Martial,Anthony Martial,France,LW,86
17849,Goretzka,Leon Goretzka,Germany,CM,87
17850,Depay,Memphis Depay,Netherlands,CF,87
17851,Konaté,Ibrahima Konaté,France,CB,84
17852,Mata,Juan Manuel Mata García,Spain,CAM,87
17853,Gnabry,Serge Gnabry,Germany,RM,87
17854,Onana,André Onana,Cameroon,GK,84
17855,Donnarumma,Gianluigi Donnarumma,Italy,GK,86
17856,Bensebaini,Ramy Bensebaini,Algeria,LB,81
17857,Zaniolo,Nicolò Zaniolo,Italy,RW,80
17858,Otamendi,Nicolás Otamendi,Argentina,CB,85
17859,Skov,Robert Skov,Denmark,RM,81
17860,Elvedi,Nico Elvedi,Switzerland,CB,82
17861,Moreno,Gerard Moreno Balagueró,Spain,RW,86
17862,Lainer,Stefan Lainer,Austria,RB,81
17863,Jiménez,Raúl Jiménez,Mexico,ST,83
17864,Partey,Thomas Partey,Ghana,CM,84
17865,Kroos,Toni Kroos,Germany,CM,89
17866,Pukki,Teemu Pukki,Finland,ST,81
17867,Selnæs,Ole Kristian Selnæs,Norway,LM,81
17868,Wharton,Scott Wharton,United Kingdom of Great Britain and Northern Ireland,CB,74
17869,Mcginn,John McGinn,United Kingdom of Great Britain and Northern Ireland,CAM,84
17870,Ronaldo,C. Ronaldo dos Santos Aveiro,Portugal,LW,94
17871,Král,Alex Král,Czech Republic,CDM,80
17872,Hazard,Eden Hazard,Belgium,LF,92
17873,Diedhiou,Famara Diedhiou,Senegal,ST,79
17874,Kane,Harry Kane,United Kingdom of Great Britain and Northern Ireland,ST,91
17875,Osimhen,Victor Osimhen,Nigeria,ST,80
17876,Vergara,Duván Vergara,Colombia,LW,76
17877,Paulinho,José Paulo Bezerra M. Júnior,Brazil,CM,88
17878,Villalba,Héctor Villalba,Paraguay,RM,84
17879,Acosta,Luciano Acosta,Argentina,CAM,84
17880,Trossard,Leandro Trossard,Belgium,LW,85
17881,Villa,David Villa Sánchez,Spain,ST,90
17882,Nakajima,Shoya Nakajima,Japan,LM,84
17883,Battaglia,Rodrigo Battaglia,Argentina,CM,84
17884,Tonali,Sandro Tonali,Italy,CDM,84
17885,Dalbert,Dalbert Chagas Estevão,Brazil,LB,84
17886,Pacheco,Fernando Pacheco Flores,Spain,GK,84
17887,Navas,Keylor Navas,Costa Rica,GK,89
17888,Pablo,Pablo Nascimento Castro,Brazil,CB,81
17889,De Vrij,Stefan de Vrij,Netherlands,CB,86
17890,Forsberg,Emil Forsberg,Sweden,CAM,84
17891,Tarkowski,James Tarkowski,United Kingdom of Great Britain and Northern Ireland,CB,82
17892,Promes,Quincy Promes,Netherlands,LM,84
17893,Max,Philipp Max,Germany,LB,81
17894,Bergwijn,Steven Bergwijn,Netherlands,LW,86
17895,Modric,Luka Modric,Croatia,CM,91
17896,Talisca,Anderson Souza Conceição,Brazil,ST,85
17897,Son,Heung Min Son,Korea (Republic of),LM,88
17898,Kimmich,Joshua Kimmich,Germany,CDM,87
17899,Canales,Sergio Canales Madrazo,Spain,CM,86
17900,Mahrez,Riyad Mahrez,Algeria,RW,87
17901,Júnior Moraes,Aluísio Chaves Rib. Moraes Júnior,Ukraine,ST,82
17902,Higuaín,Gonzalo Higuaín,Argentina,ST,86
17903,Zidane,Luca Zidane,France,GK,73
17904,Aspas,Iago Aspas Juncal,Spain,ST,86
17905,Cesinha,Cesar Fernando Silva Melo,Brazil,CAM,79
17906,Deminguet,Jessy Deminguet,France,RM,77
17907,Nsamé,Jean-Pierre Nsamé,Cameroon,ST,80
17908,Junker,Kasper Junker,Denmark,ST,73
17909,Aguirregaray,Matías Aguirregaray,Uruguay,RB,85
17910,Niakaté,Youssoufou Niakaté,France,ST,84
17911,Morales,José Luis Morales Nogales,Spain,ST,85
17912,Balotelli,Mario Balotelli,Italy,ST,88
17913,Fàbregas,Francesc Fàbregas i Soler,Spain,CM,88
17914,Bailey,Leon Bailey,Jamaica,LW,86
17915,King,Joshua King,Norway,CF,84
17916,Immobile,Ciro Immobile,Italy,ST,88
17917,Arnautovic,Marko Arnautovic,Austria,ST,84
17918,Mitrovic,Aleksandar Mitrovic,Serbia,ST,84
17919,Fischer,Viktor Fischer,Denmark,LM,82
17920,Alli,Dele Alli,United Kingdom of Great Britain and Northern Ireland,CAM,86
17921,Fekir,Nabil Fekir,France,RM,86
17922,Ødegaard,Martin Ødegaard,Norway,CM,82
17923,Bender,Lars Bender,Germany,RB,83
17924,Van Dijk,Virgil van Dijk,Netherlands,CB,91
17925,Carvajal,Daniel Carvajal Ramos,Spain,RB,86
17926,Cillessen,Jasper Cillessen,Netherlands,GK,85
17927,Costil,Benoît Costil,France,GK,83
17928,Shelvey,Jonjo Shelvey,United Kingdom of Great Britain and Northern Ireland,CM,81
17929,Pašalic,Mario Pašalic,Croatia,CM,81
17930,Cornet,Maxwel Cornet,Côte d'Ivoire,RW,81
17931,Embolo,Breel Embolo,Switzerland,ST,81
17932,Pabón,Dorlan Pabón,Colombia,RW,81
17933,Djalma,Djalma Braume Manuel Abel Campos,Angola,LM,79
17934,Dasilva,Josh Dasilva,United Kingdom of Great Britain and Northern Ireland,CM,75
17935,Lang,Noa Lang,Netherlands,RW,76
17936,Son Jun Ho,Jun Ho Son,Korea (Republic of),CM,78
17937,Brustad,Fredrik Brustad,Norway,CAM,74
17938,Da Silva,Damien Da Silva,France,CB,82
17939,Arslan,Tolgay Arslan,Germany,CDM,84
17940,Guilherme,Guilherme Costa Marques,Brazil,RM,84
17941,Benzema,Karim Benzema,France,ST,89
17942,Ramos,Sergio Ramos García,Spain,CB,90
17943,Mbappé,Kylian Mbappé,France,ST,91
17944,Zaniolo,Nicolò Zaniolo,Italy,RM,83
17945,Koulibaly,Kalidou Koulibaly,Senegal,CB,90
17946,Mertens,Dries Mertens,Belgium,CF,89
17947,Salah,Mohamed Salah,Egypt,RW,91
17948,Kane,Harry Kane,United Kingdom of Great Britain and Northern Ireland,ST,92
17949,Son,Heung Min Son,Korea (Republic of),LM,89
17950,De Bruyne,Kevin De Bruyne,Belgium,CAM,93
17951,Messi,Lionel Messi,Argentina,RW,96
17952,Ter Stegen,Marc-André ter Stegen,Germany,GK,91
17953,Sterling,Raheem Sterling,United Kingdom of Great Britain and Northern Ireland,LW,89
17954,Martínez,Lautaro Martínez,Argentina,ST,86
17955,Lewandowski,Robert Lewandowski,Poland,ST,92
17956,Tolisso,Corentin Tolisso,France,CM,85
17957,Fernandes,Bruno Miguel Borges Fernandes,Portugal,CAM,86
17958,Ziyech,Hakim Ziyech,Morocco,CAM,87
17959,Tagliafico,Nicolás Tagliafico,Argentina,LB,86
17960,Håland,Erling Braut Håland,Norway,ST,84
17961,Di María,Ángel Di María,Argentina,LW,89
17962,Cuadrado,Juan Cuadrado,Colombia,RB,85
17963,Morelos,Alfredo Morelos,Colombia,ST,81
17964,Munir,Munir El Haddadi,Spain,LW,82
17965,Sepe,Luigi Sepe,Italy,GK,81
17966,Dúbravka,Martin Dúbravka,Slovakia,GK,83
17967,Varane,Raphaël Varane,France,CB,86
17968,Maripán,Guillermo Maripán,Chile,CB,82
17969,Hinteregger,Martin Hinteregger,Austria,CB,83
17970,Wan-Bissaka,Aaron Wan-Bissaka,United Kingdom of Great Britain and Northern Ireland,RB,82
17971,Ansaldi,Cristian Ansaldi,Argentina,LM,82
17972,Mané,Sadio Mané,Senegal,LM,90
17973,Matheus Pereira,Matheus Fellipe Costa Pereira,Brazil,CAM,81
17974,Alberto,Luis Alberto Romero Alconchel,Spain,CM,87
17975,Vardy,Jamie Vardy,United Kingdom of Great Britain and Northern Ireland,ST,84
17976,Aránguiz,Charles Aránguiz,Chile,CDM,85
17977,Stuani,Cristhian Stuani,Uruguay,ST,82
17978,Joaquín,Joaquín Sánchez Rodríguez,Spain,LM,83
17979,Podolski,Lukas Podolski,Germany,RF,81
17980,Sanson,Morgan Sanson,France,CM,82
17981,Battocchio,Cristian Battocchio,Italy,CM,78
17982,Reus,Marco Reus,Germany,CF,89
17983,Depay,Memphis Depay,Netherlands,CF,86
17984,Vinícius,Carlos Vinícius Alves Morais,Brazil,ST,79
17985,Le Fondre,Adam Le Fondre,United Kingdom of Great Britain and Northern Ireland,ST,78
17986,Maja,Josh Maja,United Kingdom of Great Britain and Northern Ireland,ST,75
17987,Sierra,Carlos Sierra,Colombia,CM,73
17988,Hakimi,Achraf Hakimi,Morocco,RM,82
17989,Messi,Lionel Messi,Argentina,RW,96
17990,Mané,Sadio Mané,Senegal,LW,91
17991,Simon,Moses Simon,Nigeria,LM,84
17992,Witsel,Axel Witsel,Belgium,CDM,86
17993,Hazard,Eden Hazard,Belgium,LW,92
17994,Modric,Luka Modric,Croatia,CM,91
17995,Neymar,Neymar da Silva Santos Jr.,Brazil,LW,93
17996,Ramos,Sergio Ramos García,Spain,CB,90
17997,Mbappé,Kylian Mbappé,France,ST,90
17998,Benzema,Karim Benzema,France,CF,88
17999,Silva,Thiago Emiliano da Silva,Brazil,CB,88
18000,Marquinhos,Marcos Aoas Corrêa,Brazil,CB,87
18001,Ronaldo,C. Ronaldo dos Santos Aveiro,Portugal,ST,94
18002,Verratti,Marco Verratti,Italy,CM,87
18003,Dybala,Paulo Dybala,Argentina,CAM,89
18004,Kanté,N'Golo Kanté,France,CDM,90
18005,Bonucci,Leonardo Bonucci,Italy,CB,87
18006,De Ligt,Matthijs de Ligt,Netherlands,CB,86
18007,Gbamin,Jean-Philippe Gbamin,Côte d'Ivoire,CDM,84
18008,Koulibaly,Kalidou Koulibaly,Senegal,CB,90
18009,Sandro,Alex Sandro Lobo Silva,Brazil,LB,86
18010,Reus,Marco Reus,Germany,CAM,89
18011,Aubameyang,Pierre-Emerick Aubameyang,Gabon,ST,89
18012,Hummels,Mats Hummels,Germany,CB,88
18013,Van Dijk,Virgil van Dijk,Netherlands,CB,91
18014,Sancho,Jadon Sancho,United Kingdom of Great Britain and Northern Ireland,RM,85
18015,Kane,Harry Kane,United Kingdom of Great Britain and Northern Ireland,ST,90
18016,Salah,Mohamed Salah,Egypt,RW,91
18017,Eriksen,Christian Eriksen,Denmark,CAM,89
18018,Alisson,Alisson Ramses Becker,Brazil,GK,90
18019,De Bruyne,Kevin De Bruyne,Belgium,CAM,92
18020,Vertonghen,Jan Vertonghen,Belgium,CB,88
18021,Mané,Sadio Mané,Senegal,LW,89
18022,Agüero,Sergio Agüero,Argentina,ST,90
18023,Son,Heung Min Son,Korea (Republic of),CF,88
18024,Ederson,Ederson Santana de Moraes,Brazil,GK,89
18025,Firmino,Roberto Firmino Barbosa de Oliveira,Brazil,CF,87
18026,Silva,David Josué Jimenez Silva,Spain,CAM,89
18027,Robertson,Andrew Robertson,United Kingdom of Great Britain and Northern Ireland,LB,86
18028,Oblak,Jan Oblak,Slovenia,GK,92
18029,Sterling,Raheem Sterling,United Kingdom of Great Britain and Northern Ireland,RW,89
18030,Fabinho,Fábio Henrique Tavares,Brazil,CDM,86
18031,Giménez,José María Giménez,Uruguay,CB,86
18032,Laporte,Aymeric Laporte,France,CB,88
18033,Wijnaldum,Georginio Wijnaldum,Netherlands,CM,85
18034,Messi,Lionel Messi,Argentina,RW,95
18035,Silva,Bernardo Mota Carvalho e Silva,Portugal,RW,88
18036,Alexander-Arnold,Trent Alexander-Arnold,United Kingdom of Great Britain and Northern Ireland,RB,84
18037,Ter Stegen,Marc-André ter Stegen,Germany,GK,91
18038,Henderson,Jordan Henderson,United Kingdom of Great Britain and Northern Ireland,CDM,84
18039,Alba,Jordi Alba Ramos,Spain,LB,88
18040,De Jong,Frenkie de Jong,Netherlands,CM,86
18041,Lewandowski,Robert Lewandowski,Poland,ST,90
18042,Škriniar,Milan Škriniar,Slovakia,CB,87
18043,Kimmich,Joshua Kimmich,Germany,RB,87
18044,Ziyech,Hakim Ziyech,Morocco,CAM,86
18045,Tadic,Dušan Tadic,Serbia,CAM,85
18046,Onana,André Onana,Cameroon,GK,83
18047,Havertz,Kai Havertz,Germany,CAM,85
18048,Tagliafico,Nicolás Tagliafico,Argentina,LB,83
18049,Lukebakio,Dodi Lukebakio,Belgium,ST,84
18050,Malcuit,Kévin Malcuit,France,RB,84
18051,Fekir,Nabil Fekir,France,CAM,87
18052,Costa,Douglas Costa de Souza,Brazil,LM,86
18053,Mendes,Thiago Henrique Mendes Ribeiro,Brazil,CDM,84
18054,Murillo,Jeison Murillo,Colombia,CB,84
18055,Rashford,Marcus Rashford,United Kingdom of Great Britain and Northern Ireland,ST,85
18056,Carlos,Diego Carlos Santos Silva,Brazil,CB,84
18057,Williams,Iñaki Williams Arthuer,Spain,ST,84
18058,Cavani,Edinson Cavani,Uruguay,ST,89
18059,Lecomte,Benjamin Lecomte,France,GK,86
18060,Van Crombrugge,Hendrik Van Crombrugge,Belgium,GK,79
18061,Hernández,Theo Hernández,France,LB,84
18062,Olaza,Lucas Olaza,Uruguay,LB,81
18063,Vertonghen,Jan Vertonghen,Belgium,LB,88
18064,Gosling,Dan Gosling,United Kingdom of Great Britain and Northern Ireland,CM,81
18065,Albiol,Raúl Albiol Tortajada,Spain,CB,85
18066,Valero,Borja Valero Iglesias,Spain,CM,82
18067,De Bruyne,Kevin De Bruyne,Belgium,CAM,94
18068,Gervinho,Gervais Yao Kouassi,Côte d'Ivoire,LW,82
18069,Pizzi,Luis Miguel Afonso Fernandes,Portugal,RM,86
18070,Berghuis,Steven Berghuis,Netherlands,RW,83
18071,Paredes,Leandro Paredes,Argentina,CM,83
18072,El Arabi,Youssef El Arabi,Morocco,ST,81
18073,Campaña,José Gómez Campaña,Spain,CM,83
18074,Sancho,Jadon Sancho,United Kingdom of Great Britain and Northern Ireland,LF,86
18075,Schürpf,Pascal Schürpf,Switzerland,LWB,75
18076,Salah,Mohamed Salah,Egypt,ST,92
18077,Govea,Omar Govea,Mexico,CAM,79
18078,Coutinho,Philippe Coutinho Correia,Brazil,LW,88
18079,Niederlechner,Florian Niederlechner,Germany,ST,80
18080,Rhodes,Jordan Rhodes,United Kingdom of Great Britain and Northern Ireland,ST,78
18081,Chaplin,Conor Chaplin,United Kingdom of Great Britain and Northern Ireland,ST,74
18082,Atal,Youcef Atal,Algeria,RB,84
18083,Modric,Luka Modric,Croatia,CM,92
18084,Forrest,James Forrest,United Kingdom of Great Britain and Northern Ireland,RM,84
18085,Kent,Ryan Kent,United Kingdom of Great Britain and Northern Ireland,LW,82
18086,Reine-Adelaïde,Jeff Reine-Adelaïde,France,CAM,83
18087,Bolasie,Yannick Bolasie,Congo (Democratic Republic of the),LW,84
18088,Havertz,Kai Havertz,Germany,CAM,87
18089,Guedes,Gonçalo Manuel Ganchinho Guedes,Portugal,LM,85
18090,Jesus,Gabriel Fernando de Jesus,Brazil,ST,84
18091,Werner,Timo Werner,Germany,ST,87
18092,Batshuayi,Michy Batshuayi,Belgium,ST,87
18093,Perišic,Ivan Perišic,Croatia,LM,87
18094,Cazorla,Santiago Cazorla González,Spain,CM,86
18095,Delph,Fabian Delph,United Kingdom of Great Britain and Northern Ireland,CDM,81
18096,Gedson Fernandes,Gedson Carvalho Fernandes,Portugal,CM,81
18097,Rebic,Ante Rebic,Croatia,ST,85
18098,De Gea,David De Gea Quintana,Spain,GK,90
18099,Roussillon,Jérôme Roussillon,France,LB,84
18100,Sissoko,Moussa Sissoko,France,CM,84
18101,Acuña,Marcos Acuña,Argentina,LW,86
18102,Mendy,Ferland Mendy,France,LB,85
18103,Sánchez,Davinson Sánchez,Colombia,CB,85
18104,Sanches,Renato Júnior Luz Sanches,Portugal,CM,84
18105,Lozano,Hirving Lozano,Mexico,RW,84
18106,Boulaya,Farid Boulaya,Algeria,RW,85
18107,Vidal,Arturo Vidal,Chile,CM,86
18108,Shaqiri,Xherdan Shaqiri,Switzerland,RW,84
18109,Patrício,Rui Pedro dos Santos Patrício,Portugal,GK,85
18110,Kolarov,Aleksandar Kolarov,Serbia,LB,86
18111,Kompany,Vincent Kompany,Belgium,CB,85
18112,Mendy,Benjamin Mendy,France,LB,83
